lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
124,2,105.61,12,26,4,3,1,0,3,0
37,0,126.45,3,24,4,2,0,0,3,1
6,0,88.0,12,1,4,1,0,3,0,1
0,0,4.5,11,28,1,1,1,0,0,1
1,0,98.1,9,30,3,2,0,0,0,1
52,0,63.75,3,9,4,4,0,3,0,0
14,2,159.33,6,12,4,1,2,0,3,1
78,0,75.0,4,26,3,4,0,0,0,1
13,0,159.0,10,10,2,2,1,0,0,1
127,0,143.1,9,1,4,3,1,0,3,0
4,1,151.0,8,5,4,2,2,0,0,1
73,0,72.0,4,3,4,1,2,3,0,0
5,2,66.0,2,4,3,1,0,0,0,1
1,1,0.0,6,7,1,1,0,0,0,1
74,1,78.3,3,11,4,2,1,0,0,1
102,1,118.8,10,6,4,1,0,0,0,0
19,2,124.0,9,19,4,1,0,0,0,1
62,0,75.0,11,20,3,3,2,0,0,1
62,0,63.75,3,9,4,4,0,3,0,0
14,1,139.0,2,14,4,5,2,0,3,1
37,0,60.0,11,4,3,3,0,0,3,1
0,2,96.0,8,28,4,1,0,0,0,1
17,2,74.8,11,16,4,4,0,3,0,1
219,1,76.67,9,4,3,2,1,0,0,1
43,2,176.67,11,9,4,3,0,0,0,1
44,0,76.5,5,19,3,1,0,3,0,1
386,0,109.0,10,23,4,0,2,1,0,0
89,0,75.0,12,19,3,2,1,0,0,1
85,0,157.25,3,24,4,3,2,0,5,0
50,0,126.0,11,25,4,2,1,0,3,0
38,1,157.14,11,6,4,3,2,3,0,0
53,0,94.32,9,11,4,0,1,3,0,1
13,0,67.0,2,17,2,1,0,0,0,1
20,0,139.0,7,4,4,5,1,3,0,0
35,0,67.49,9,14,4,5,2,0,0,1
231,0,64.6,12,27,3,5,0,0,0,1
8,0,65.0,10,6,2,1,0,0,0,1
10,1,114.73,9,7,4,1,0,0,0,1
5,1,12.0,9,2,3,1,0,0,0,1
47,2,109.8,8,30,4,4,0,0,0,1
0,0,149.0,9,2,4,1,0,3,0,1
42,1,109.31,4,28,4,3,1,3,0,1
78,1,108.45,4,6,4,4,0,0,3,1
136,1,105.6,5,30,4,2,1,0,0,0
179,1,90.95,7,23,4,4,2,0,0,1
59,2,93.6,12,2,4,2,0,0,0,1
41,1,107.0,3,27,3,1,2,1,0,1
5,0,106.0,5,4,2,2,0,0,4,1
213,1,167.95,7,21,4,3,2,0,5,0
2,0,169.0,9,21,2,1,0,0,0,0
57,3,112.8,12,27,4,3,0,0,0,1
49,1,134.1,6,29,4,4,2,0,0,1
74,0,68.5,10,17,4,2,2,0,0,1
30,0,117.0,3,5,3,1,2,1,0,1
47,2,87.0,12,24,4,1,0,0,0,1
2,1,96.0,12,18,4,0,2,0,0,1
12,2,120.35,5,30,4,1,1,0,0,1
35,2,168.3,8,16,4,4,0,0,3,1
11,1,65.29,11,13,4,4,2,0,0,1
0,1,159.0,9,12,4,0,1,0,0,1
1,3,167.0,6,4,4,1,1,0,3,1
9,3,168.0,9,8,4,1,0,0,0,1
36,0,88.0,12,8,4,3,0,3,0,0
27,1,88.4,12,13,4,4,0,0,0,1
40,1,72.76,10,14,4,2,0,0,0,1
103,0,95.0,5,4,3,3,0,0,0,0
72,1,78.2,3,16,4,4,0,0,0,0
36,2,125.1,3,23,4,4,2,0,3,0
3,1,101.68,7,4,4,1,1,3,0,1
23,0,180.25,11,6,4,2,2,0,0,1
11,1,129.0,9,25,4,1,2,3,0,1
195,1,112.5,8,30,4,2,0,0,0,0
50,1,76.92,6,22,4,1,0,0,0,1
10,0,127.0,3,17,4,2,0,0,0,0
132,1,113.4,10,8,4,3,2,0,0,0
32,0,95.0,10,10,2,2,1,0,0,1
52,0,56.16,12,17,4,1,2,3,0,1
25,0,216.0,3,29,4,4,0,0,5,0
48,0,85.5,5,30,3,3,1,0,0,1
69,0,111.9,6,27,4,2,1,0,0,0
175,0,112.63,8,31,4,4,0,0,0,0
11,0,97.4,12,5,4,3,1,0,0,1
5,0,64.0,2,2,3,3,0,0,0,1
94,0,55.96,7,14,4,7,2,0,0,0
6,2,100.67,8,19,4,4,2,0,0,1
178,0,88.5,7,22,4,2,1,3,0,0
58,0,60.0,2,3,3,4,1,0,0,1
5,0,90.33,11,23,4,3,0,3,0,0
140,2,109.2,6,4,4,1,2,3,0,1
150,0,173.25,7,7,4,3,1,1,0,0
98,0,50.33,2,25,3,4,2,0,0,1
34,1,75.54,5,22,4,0,1,3,0,1
6,0,77.0,9,24,3,1,0,0,0,1
11,0,64.8,3,5,3,1,2,0,0,1
30,0,139.28,10,2,4,2,2,0,0,0
40,1,83.16,10,13,4,1,0,3,0,1
2,0,72.5,8,15,4,1,2,1,0,0
53,1,94.5,10,26,4,2,1,0,0,1
99,1,137.1,9,5,4,2,1,0,0,1
61,0,124.8,4,15,4,2,1,0,3,0
0,1,0.0,12,7,1,0,1,0,0,1
132,0,72.25,7,19,3,5,1,0,0,1
58,1,85.3,3,1,4,8,2,0,3,1
7,0,103.0,11,29,4,1,0,0,0,1
5,1,109.0,3,14,4,3,1,0,0,1
110,0,94.5,7,25,3,1,2,1,0,1
6,0,108.05,10,13,4,1,0,3,3,1
148,0,114.3,5,29,4,1,2,0,0,0
25,0,152.0,12,25,4,0,2,1,3,0
1,1,211.0,4,29,4,2,1,0,5,1
36,1,67.5,2,13,4,1,1,3,0,1
74,0,86.4,11,20,4,0,1,0,0,0
2,1,98.0,8,10,4,1,1,0,0,0
1,1,176.0,5,20,4,1,0,0,3,1
55,1,127.82,3,31,3,1,0,0,0,1
199,1,74.8,12,23,4,2,2,3,0,0
127,1,114.3,7,10,4,0,2,0,0,1
73,1,112.05,10,31,4,1,1,0,0,0
41,1,67.5,2,12,4,2,1,3,0,0
219,0,86.5,8,10,4,3,0,0,1,0
152,2,119.0,7,11,4,1,1,0,0,0
3,1,104.72,5,2,4,0,1,0,0,1
6,1,114.0,9,21,4,3,1,0,0,1
23,3,119.0,10,17,4,2,1,3,0,1
13,0,88.0,12,17,4,1,1,3,0,1
14,2,102.41,5,23,4,2,1,0,0,1
75,2,120.7,12,24,4,2,2,1,0,1
97,2,143.14,12,26,4,4,1,1,3,1
107,1,80.75,5,29,3,1,2,0,0,0
40,0,131.4,3,20,4,0,2,0,3,0
36,2,152.4,4,28,4,3,0,0,3,1
24,1,95.0,5,14,3,1,0,0,0,1
128,0,122.4,8,17,4,4,1,0,3,0
133,0,108.0,10,2,4,1,2,3,0,0
51,2,109.8,12,6,4,3,0,0,0,1
78,1,177.3,9,18,4,1,2,0,3,1
443,0,60.0,4,29,3,1,0,0,0,0
271,0,71.64,12,3,4,1,2,0,0,1
56,1,180.0,3,20,4,0,2,0,5,0
20,0,67.0,10,13,2,1,0,0,0,1
13,1,87.0,2,18,3,3,0,0,0,1
156,0,96.3,6,26,4,0,1,0,0,0
153,2,133.88,7,4,4,3,1,0,0,0
80,0,107.1,6,26,4,3,2,0,0,1
15,0,86.0,2,18,3,3,0,0,0,1
2,2,130.0,2,3,4,4,0,0,3,1
88,0,152.87,8,23,4,5,2,0,3,1
85,1,167.8,8,3,4,6,2,0,3,1
4,0,65.0,11,16,2,0,1,0,0,1
31,1,64.67,11,14,4,5,2,0,0,1
6,0,129.0,5,12,2,1,0,0,0,1
1,0,79.0,11,14,2,1,0,0,0,1
59,1,60.35,10,31,4,2,1,3,0,1
0,0,126.0,9,12,4,1,1,0,0,0
163,1,91.63,10,8,4,1,1,3,0,1
194,1,106.2,4,30,4,1,2,0,0,0
73,1,117.64,7,1,3,5,2,0,3,1
81,1,103.7,4,25,4,3,1,0,3,1
63,0,121.05,7,27,4,4,0,0,3,0
57,0,126.36,6,3,4,1,0,0,3,0
14,3,98.0,9,11,4,0,2,3,0,1
74,2,127.8,12,10,4,1,0,1,0,1
0,0,94.0,2,24,4,1,0,3,0,1
50,2,135.9,8,16,4,3,0,0,0,1
1,2,90.0,8,8,4,1,1,0,0,1
69,1,173.0,11,7,4,3,1,3,0,0
75,0,65.0,6,15,2,1,0,0,0,1
6,1,116.62,9,1,4,10,3,0,0,0
50,0,98.55,10,19,3,2,0,0,0,1
18,1,129.67,4,12,4,3,0,0,0,1
132,0,105.3,5,6,4,2,0,0,0,1
0,1,0.0,3,30,1,1,0,1,5,1
0,1,0.0,7,29,1,1,0,0,0,1
30,1,92.25,9,25,4,2,2,0,3,1
50,0,101.15,3,28,4,3,1,0,0,0
85,2,180.3,7,18,4,5,1,0,5,1
21,2,121.2,11,11,4,2,2,0,3,1
1,1,67.0,4,1,2,1,0,0,0,1
206,0,90.95,8,29,4,3,1,0,0,0
81,0,132.6,5,21,4,2,2,0,3,0
27,0,90.0,3,10,4,1,0,3,0,1
37,3,125.1,8,20,4,3,2,3,0,1
73,1,135.9,5,18,4,2,0,0,0,1
116,0,70.0,2,28,3,1,2,0,0,0
59,0,147.9,12,16,4,3,2,0,5,0
3,0,66.0,2,29,2,2,1,0,0,1
215,1,106.25,8,29,4,3,1,0,0,0
70,3,106.25,4,4,4,3,1,0,0,1
121,0,162.0,9,20,4,5,1,0,3,0
91,1,83.87,4,3,4,4,2,0,0,1
5,1,91.0,2,12,4,2,0,0,0,0
30,1,170.63,9,18,2,3,2,0,4,0
6,0,65.0,10,12,2,0,1,0,0,1
27,0,107.92,2,21,4,2,2,0,4,1
121,1,125.55,8,15,4,3,1,0,3,1
87,1,102.3,6,26,4,1,2,0,0,1
111,0,120.0,10,10,3,0,1,0,4,0
69,1,161.9,5,18,4,2,0,0,0,1
138,0,109.25,7,16,4,3,2,0,0,1
183,1,112.0,8,9,3,3,0,0,0,0
39,1,126.0,10,2,4,1,2,0,0,0
97,0,135.0,10,17,4,5,2,0,0,0
89,2,55.63,11,28,4,1,2,0,0,1
267,0,115.2,10,1,4,1,1,0,3,0
108,1,97.02,4,27,4,5,2,0,0,1
23,0,154.0,11,25,4,2,2,0,3,0
54,1,132.3,9,30,4,1,0,0,3,1
33,0,85.5,5,29,3,1,2,0,0,1
1,2,111.0,7,20,4,1,0,0,0,1
45,0,68.0,11,13,3,4,2,0,3,1
129,1,114.3,8,6,4,1,0,0,0,1
1,1,108.0,7,20,4,1,0,3,0,1
39,1,117.98,4,21,4,5,2,0,3,1
28,0,131.6,4,29,4,4,2,0,0,0
16,0,104.67,11,18,4,2,1,0,0,1
28,1,114.0,4,16,4,1,1,0,0,1
101,2,153.0,10,21,4,1,0,1,0,0
17,2,130.0,11,3,4,2,0,0,3,1
106,0,124.2,11,4,4,2,1,1,0,0
70,1,127.8,4,22,4,2,0,0,3,0
194,1,81.82,7,10,4,2,2,0,1,1
19,1,93.0,2,19,4,2,1,0,0,1
110,1,142.2,8,23,4,2,0,0,3,1
14,0,84.0,6,23,3,1,0,3,0,1
7,2,90.1,12,18,4,2,2,0,3,1
104,0,91.5,10,6,3,2,0,1,0,0
71,0,112.5,6,30,4,1,0,0,0,0
192,2,76.5,8,6,4,3,2,0,0,1
8,0,154.0,12,8,4,1,0,0,3,1
27,0,85.0,5,4,3,1,0,0,0,1
194,0,101.4,9,12,4,3,1,0,0,0
92,2,135.15,5,15,4,2,2,0,0,1
23,0,129.2,4,9,4,3,2,0,3,0
36,0,71.25,10,29,3,3,1,0,3,1
4,1,40.0,3,29,2,1,0,0,0,1
57,1,96.6,12,8,4,3,0,0,0,1
252,2,81.43,12,28,4,4,1,0,0,1
15,2,148.5,4,7,4,3,1,0,3,1
83,0,76.38,3,18,4,5,2,0,0,0
49,1,69.52,12,24,4,1,0,3,1,1
77,2,79.2,12,6,4,2,0,3,0,1
19,0,100.73,5,30,4,3,1,0,0,1
171,1,76.08,12,31,3,2,2,0,0,1
87,0,134.1,8,14,4,2,2,0,0,0
1,1,92.0,2,22,4,0,1,0,0,1
135,1,155.7,8,9,4,3,0,0,3,1
29,0,161.67,12,30,3,2,1,0,0,1
56,0,185.0,9,25,3,2,1,0,0,1
66,1,114.3,3,19,4,1,1,0,3,1
75,0,67.83,10,20,3,5,1,0,1,1
17,0,88.0,11,25,4,2,0,3,0,0
32,2,126.0,4,20,4,2,0,0,0,1
40,0,104.1,6,27,4,5,1,3,0,0
7,1,119.0,1,2,4,1,0,0,0,1
14,1,151.0,7,3,4,2,2,0,0,1
121,0,62.5,11,16,3,4,2,3,0,1
137,0,75.0,6,20,3,3,1,0,0,1
26,2,110.0,10,28,4,1,0,3,0,1
35,2,101.41,4,17,4,1,2,0,0,1
151,0,70.75,1,19,3,4,0,0,0,1
160,0,90.0,4,27,3,4,2,0,0,0
0,0,65.0,3,15,2,2,0,0,0,1
72,1,68.4,3,14,4,3,1,3,0,0
19,0,154.0,4,13,4,1,0,3,0,1
60,1,93.6,11,18,4,2,1,0,0,1
154,3,177.3,6,28,4,3,0,0,5,1
0,2,106.0,8,25,4,2,0,0,0,1
118,0,105.4,9,11,3,1,2,0,0,1
47,1,74.8,12,7,4,4,0,3,0,1
203,2,114.3,8,17,4,2,0,0,3,0
21,1,91.25,8,31,4,3,1,0,0,0
17,0,110.0,5,15,0,8,4,0,3,0
82,0,109.37,4,16,4,4,2,0,3,0
53,0,75.0,11,18,3,2,1,0,0,1
0,1,133.0,9,5,4,1,0,0,0,0
91,0,112.5,8,21,4,0,2,0,0,1
229,0,70.44,10,27,4,3,0,0,0,0
48,0,159.3,5,6,4,2,1,0,3,0
92,0,68.0,7,7,4,4,0,0,0,0
7,0,80.0,3,16,3,3,0,0,0,1
125,2,80.75,10,20,4,5,1,0,0,1
21,0,108.2,3,14,3,3,1,1,3,1
42,2,78.3,11,23,4,3,0,0,0,1
84,1,109.65,5,16,4,3,1,3,0,0
164,1,126.9,9,30,4,2,2,0,3,0
82,1,89.25,9,19,4,4,2,0,0,1
13,0,79.0,7,11,2,1,1,0,0,1
37,0,72.0,11,20,3,1,2,0,0,1
6,0,106.0,2,5,4,2,0,0,3,0
112,2,88.4,12,22,4,3,1,0,0,0
30,1,89.3,2,5,4,2,2,0,3,1
2,0,85.0,3,20,3,4,2,0,0,1
3,1,154.0,10,11,4,2,0,0,0,1
155,0,103.5,7,18,4,1,1,3,0,0
9,0,161.33,9,7,4,2,1,0,0,1
12,1,90.0,6,8,3,1,0,0,0,1
53,1,88.4,11,13,4,4,2,0,0,1
25,1,100.0,11,1,4,3,0,3,0,1
15,0,153.0,9,2,4,2,1,0,3,1
38,1,67.6,3,5,4,1,0,3,0,1
18,1,131.0,8,20,4,1,0,0,0,1
49,1,89.3,3,2,4,3,0,0,3,1
32,1,94.5,10,4,4,3,2,0,0,0
54,0,90.95,6,20,3,2,1,0,3,1
9,2,190.5,9,24,4,3,1,0,0,1
195,1,112.56,9,27,4,5,2,0,0,0
121,0,114.3,5,16,4,2,1,0,3,1
14,0,43.43,2,15,3,5,2,0,0,1
22,1,126.04,12,28,4,10,4,0,3,1
54,0,102.0,12,27,3,1,2,1,0,1
118,1,90.95,4,10,4,3,2,0,0,1
28,1,134.37,7,7,4,3,0,3,0,1
32,1,149.4,7,7,4,1,0,0,3,1
1,2,135.75,9,6,4,2,2,0,0,1
75,1,90.95,4,11,4,3,1,0,0,1
2,2,101.0,3,30,4,1,0,0,0,1
13,0,62.0,1,28,3,2,0,0,0,1
1,1,103.18,10,9,4,0,1,3,0,1
141,0,135.45,8,22,4,3,1,0,3,1
74,2,168.3,5,21,4,1,0,0,0,1
3,1,54.75,10,1,3,3,1,0,0,1
76,0,105.3,3,24,4,3,0,0,0,0
9,1,149.0,9,22,4,1,0,3,0,1
36,0,71.0,1,19,3,2,0,0,0,1
178,1,99.45,8,10,4,4,0,0,0,1
23,1,147.9,11,22,4,4,0,0,5,0
214,1,89.75,7,29,4,2,2,3,0,1
45,1,96.33,9,10,4,1,2,3,0,1
23,1,75.0,10,21,3,3,0,0,3,1
0,0,88.0,3,28,2,0,1,0,0,1
309,0,101.0,5,13,3,2,1,1,0,0
39,1,107.1,7,1,4,1,0,3,0,1
152,1,90.95,6,27,4,3,1,0,0,1
109,0,100.5,8,5,4,2,1,3,0,0
90,0,80.75,4,12,4,4,0,3,0,1
66,2,179.1,11,7,4,3,1,0,0,1
43,2,74.61,11,14,4,3,1,0,3,1
54,0,55.8,3,19,3,1,2,0,0,1
285,0,100.0,10,3,4,3,1,0,0,0
41,1,117.9,3,31,4,3,0,0,0,1
5,2,78.0,12,21,4,1,0,3,0,1
68,2,151.2,10,9,4,3,2,0,3,1
103,1,77.29,6,26,3,1,2,0,0,0
37,1,96.1,12,14,4,5,2,0,0,1
85,0,76.5,7,24,4,3,2,0,0,0
41,2,123.3,3,15,4,3,0,0,3,1
39,0,126.9,5,7,4,1,0,0,0,0
292,0,86.7,12,13,4,4,0,0,3,0
2,1,200.0,9,19,4,1,0,0,3,1
11,1,120.12,8,20,4,2,2,0,3,1
3,0,176.0,5,27,4,2,0,0,3,0
82,3,74.8,11,19,4,5,2,3,0,1
40,0,95.0,7,26,3,1,0,1,0,1
108,0,92.4,5,4,4,3,0,0,0,1
24,0,206.0,12,30,4,1,0,0,5,1
92,2,125.1,9,19,4,0,1,3,0,1
29,0,87.0,3,2,3,4,1,0,0,1
2,0,65.0,9,27,2,0,2,0,0,0
11,1,127.6,8,19,4,1,0,0,1,1
8,1,80.3,1,15,4,1,0,0,0,1
18,0,68.0,11,27,3,5,2,0,0,1
77,2,164.3,6,19,4,0,2,0,3,1
0,0,138.0,8,12,4,3,0,0,0,1
1,2,150.0,10,17,4,0,1,0,0,1
22,0,154.0,9,26,4,3,1,0,3,0
24,0,107.0,4,28,3,7,2,0,3,1
4,0,79.0,2,16,4,1,0,3,0,1
35,0,140.4,5,21,4,1,1,0,3,0
57,1,140.4,5,28,4,5,2,0,3,0
32,0,85.0,7,18,3,1,1,0,0,1
101,1,63.75,12,8,4,1,0,0,0,0
16,0,87.3,1,24,4,1,2,0,0,1
10,1,161.33,7,7,4,3,0,0,3,1
6,0,100.8,10,11,3,1,2,0,0,1
1,0,85.0,9,29,2,1,0,0,0,1
1,0,98.0,3,5,4,1,0,3,0,1
66,1,119.85,5,11,4,4,0,0,0,1
39,1,99.9,6,26,4,0,2,0,0,1
32,2,62.0,2,26,3,2,1,0,0,1
5,0,0.0,10,19,4,2,1,0,0,1
17,0,118.0,9,2,4,1,0,3,0,1
330,0,172.8,8,31,4,2,0,0,5,0
22,0,221.0,6,16,4,3,0,0,5,0
35,1,140.4,4,30,4,1,2,0,3,1
30,1,72.0,2,28,3,1,2,0,0,1
76,1,71.4,9,16,3,5,2,0,0,1
58,1,75.0,11,20,3,1,2,0,0,1
244,1,78.54,9,16,4,5,2,3,0,1
45,1,123.3,3,14,4,1,1,0,3,1
2,1,40.0,3,16,2,3,0,0,0,1
8,2,117.67,9,3,4,3,0,0,0,1
38,0,88.8,6,20,4,3,1,0,0,0
9,0,95.0,4,11,4,0,1,0,0,0
0,0,79.0,7,20,0,1,0,0,0,1
2,0,181.0,5,19,3,1,0,0,4,1
121,4,0.0,8,31,1,1,0,0,6,1
75,3,79.2,11,17,4,3,0,3,0,1
142,0,85.5,6,28,4,2,0,3,0,0
97,1,94.5,11,20,4,0,2,0,0,1
43,1,82.72,12,16,4,3,2,3,0,1
42,0,74.0,2,26,3,2,0,0,0,1
206,0,80.75,8,12,4,2,2,3,0,0
1,0,77.6,1,22,4,2,0,0,3,1
0,1,161.0,5,20,4,1,0,0,0,1
0,0,90.0,9,10,2,1,0,0,0,1
7,1,106.36,11,8,4,4,0,3,0,1
88,0,75.0,5,8,3,3,2,0,0,1
0,0,158.0,8,9,4,1,0,3,0,1
5,0,129.0,3,22,4,5,0,0,0,0
72,0,63.75,3,13,4,3,2,3,0,0
43,2,80.39,6,8,4,1,0,0,0,1
146,0,85.0,12,29,3,3,0,0,0,1
28,2,110.65,10,12,4,1,1,0,0,1
64,0,73.95,2,12,4,2,2,0,0,0
74,0,55.9,7,27,4,7,3,0,0,1
53,0,60.0,11,14,3,2,2,0,3,1
85,1,72.25,3,28,4,5,1,3,0,1
17,2,196.0,7,23,4,1,0,0,3,1
1,0,91.1,1,13,4,4,0,0,3,1
61,1,95.66,9,1,4,5,2,3,0,1
35,0,108.9,10,16,4,2,1,0,0,1
46,0,103.0,3,4,3,3,2,1,0,1
28,1,101.0,4,17,4,0,2,0,0,1
58,0,91.0,1,27,3,2,0,0,0,1
50,2,126.0,10,16,4,2,2,0,0,1
42,1,73.15,10,26,4,4,1,3,0,1
1,0,90.0,1,29,4,1,0,0,0,1
166,0,81.25,7,30,3,1,2,0,0,1
65,1,149.4,9,9,4,2,0,0,3,1
91,1,127.5,5,4,3,4,0,1,0,1
178,1,106.25,10,24,3,3,1,1,0,0
57,0,90.95,9,16,3,2,1,0,3,1
0,0,95.0,5,2,0,3,1,0,0,1
0,0,143.5,7,8,4,2,0,3,0,1
198,0,90.9,10,18,4,3,0,0,0,0
8,0,65.58,2,3,3,4,1,0,0,1
67,0,139.5,7,12,4,4,0,0,3,1
109,1,94.5,7,27,4,1,0,3,0,0
88,1,187.85,5,16,4,4,1,0,5,0
224,1,90.95,8,23,4,5,2,0,0,1
6,0,75.0,8,21,3,0,1,3,0,1
139,1,192.3,7,30,4,1,2,0,5,0
215,0,67.26,11,30,4,4,0,0,1,0
92,0,85.5,8,17,4,1,1,0,0,1
6,1,70.07,2,13,4,1,0,0,0,1
2,1,65.0,11,30,2,2,0,0,0,1
7,1,90.0,8,12,4,4,1,0,0,0
5,0,65.0,10,5,2,0,1,0,0,1
24,0,117.0,3,3,3,3,0,1,0,1
155,1,137.7,7,16,4,1,1,0,3,0
62,1,118.8,7,24,4,2,2,0,3,1
0,1,174.0,8,22,4,1,0,0,5,1
57,2,130.5,9,6,4,4,0,0,3,1
63,1,88.4,11,17,4,3,1,0,0,1
17,1,94.95,10,15,4,3,2,0,0,1
71,1,84.15,4,23,4,3,2,3,0,0
180,0,108.9,10,1,4,1,2,0,0,0
157,0,113.1,6,7,4,3,0,0,0,0
32,0,228.6,4,16,4,5,2,1,5,0
33,0,108.9,5,25,4,1,0,0,0,1
149,1,119.0,8,3,4,4,2,0,0,1
54,0,49.43,3,1,4,4,0,3,0,1
2,2,114.73,9,15,4,1,0,3,0,1
84,1,187.85,5,13,4,2,2,0,5,1
37,1,132.84,9,29,4,2,0,0,3,0
40,3,100.8,11,4,4,2,0,0,0,1
2,0,68.5,8,15,3,1,2,0,0,0
8,1,133.0,8,16,4,2,0,3,0,1
115,1,126.9,5,13,4,2,0,0,0,1
0,0,89.55,12,20,3,1,0,0,0,1
69,0,126.9,6,17,4,2,1,0,0,1
190,1,99.95,7,24,4,2,2,0,0,1
33,2,78.5,3,5,4,1,2,0,0,1
31,0,70.0,9,16,3,2,1,0,0,1
30,0,81.0,11,25,3,2,0,0,0,1
149,0,127.5,7,20,4,3,0,0,0,0
3,1,80.1,1,16,4,2,2,0,0,1
132,0,121.37,7,31,4,5,2,0,3,0
214,0,103.5,10,7,4,2,1,0,0,0
43,0,106.8,3,17,4,3,0,0,3,1
85,0,75.0,12,8,3,3,0,0,0,1
55,1,78.08,3,1,4,4,0,0,0,1
1,1,65.0,2,3,2,1,0,0,0,1
21,1,99.33,10,3,4,2,1,3,0,1
41,1,104.99,8,15,4,2,1,3,0,1
5,3,120.0,11,21,4,0,1,0,0,1
80,0,96.3,4,25,4,0,1,0,0,0
57,0,158.85,9,7,4,4,0,0,3,0
19,0,99.2,8,31,4,1,0,0,0,0
20,1,139.0,2,23,4,4,0,0,3,1
163,2,161.1,9,5,4,2,1,1,0,0
8,2,80.85,9,8,4,2,0,0,0,1
63,0,159.3,4,29,4,2,1,0,0,1
4,0,81.0,2,19,2,1,0,0,0,1
55,0,126.0,8,29,4,8,3,0,3,1
0,0,0.0,9,17,1,1,0,0,0,1
2,2,143.22,4,1,4,2,2,0,5,1
25,1,88.0,11,17,4,3,0,3,0,0
45,0,101.38,11,1,4,8,2,0,0,0
37,1,74.8,12,14,4,4,0,0,0,1
55,0,92.0,4,6,3,1,0,1,3,1
7,1,81.0,2,8,4,3,1,3,0,1
2,1,161.0,5,28,4,1,0,0,0,1
98,2,114.3,7,3,4,1,2,0,0,1
4,0,68.0,11,6,3,2,2,0,0,1
98,1,90.6,10,30,4,1,2,0,0,1
12,2,129.25,10,31,4,3,1,0,0,1
57,3,85.5,10,28,4,2,0,0,0,1
88,1,102.3,6,26,4,1,2,0,0,1
2,2,156.0,8,26,4,1,0,0,5,1
21,0,129.0,3,4,4,1,0,1,0,0
200,0,90.95,8,29,4,3,1,0,0,0
5,2,90.0,8,10,4,4,1,0,0,1
134,0,94.5,5,17,4,3,0,3,0,0
8,0,93.0,2,22,4,3,1,0,0,1
65,1,107.1,9,6,4,2,0,0,0,1
47,0,85.0,8,22,3,3,1,0,0,1
196,0,96.3,10,27,4,2,0,0,0,0
33,0,95.0,1,25,2,2,1,0,0,1
54,2,118.8,4,10,4,1,2,0,3,1
103,2,186.0,11,7,4,3,1,0,0,1
4,2,168.5,6,16,4,3,2,0,0,1
29,2,217.1,6,9,4,3,0,0,5,1
9,0,95.0,4,20,3,3,0,0,0,1
36,0,135.9,8,20,4,1,2,0,0,0
16,1,80.3,1,22,4,2,0,0,0,1
3,0,119.0,4,28,4,1,0,3,0,1
75,0,70.0,3,17,4,3,1,0,0,0
110,1,104.4,10,28,4,2,1,0,3,1
60,1,76.0,11,15,4,4,2,3,0,1
68,0,93.6,11,25,4,2,0,0,0,1
228,0,72.22,5,6,4,2,1,0,0,0
24,1,77.0,1,15,4,6,2,3,0,1
0,2,0.0,2,3,1,1,0,0,3,1
1,0,56.47,5,8,4,0,1,3,0,1
12,0,60.0,8,5,2,3,0,0,0,1
5,0,115.8,10,18,3,3,2,0,0,1
35,3,89.28,10,16,3,2,0,0,0,1
179,0,111.6,8,31,4,2,0,0,0,0
5,0,80.0,10,19,2,1,1,0,0,1
8,0,154.33,7,15,4,2,1,0,0,1
7,0,97.0,3,8,3,1,0,0,0,1
153,2,80.75,6,30,4,3,1,3,0,1
2,1,102.0,2,6,4,1,1,0,0,1
36,0,214.75,8,21,4,0,1,0,6,0
150,0,80.0,1,18,3,4,1,0,0,1
262,0,63.75,12,26,4,3,1,3,0,0
64,2,79.2,11,20,4,2,0,0,0,1
220,1,90.95,8,9,4,5,0,0,0,0
5,2,161.0,11,25,4,1,0,0,3,1
6,3,138.0,9,12,4,0,1,3,0,1
19,0,147.0,3,18,4,2,0,1,0,0
174,0,70.0,10,10,4,1,1,0,0,0
54,1,83.8,11,18,4,3,2,3,0,1
121,2,139.5,8,18,4,3,2,0,3,1
30,1,125.1,7,27,4,1,0,3,0,1
76,1,111.3,4,28,4,3,0,0,0,0
4,0,181.79,9,19,2,3,1,0,4,1
42,1,107.41,10,2,4,1,2,0,3,1
192,0,86.0,9,25,3,3,2,0,0,1
9,1,153.0,8,17,4,2,1,0,5,0
96,0,99.45,3,24,4,3,1,0,3,1
198,1,62.18,7,31,4,2,2,3,0,1
17,0,83.2,11,27,4,3,2,0,0,0
8,0,176.0,10,7,4,2,2,0,4,0
3,0,147.67,3,24,4,3,0,0,0,0
79,1,88.4,12,7,4,4,0,0,0,1
222,1,100.58,8,28,4,4,2,0,0,0
28,1,75.0,12,1,2,3,1,0,0,1
63,1,105.6,4,25,4,2,1,0,0,1
68,1,112.2,4,21,4,3,0,0,3,1
0,0,107.42,9,9,4,1,0,3,0,1
26,0,108.0,10,12,3,3,1,3,3,1
138,1,97.33,7,3,4,2,2,0,0,0
63,1,99.0,9,4,4,0,1,3,0,1
87,0,104.4,10,26,4,3,0,0,3,0
19,0,82.83,2,18,4,3,0,0,0,1
5,2,127.0,8,17,4,1,0,3,0,1
6,2,149.0,10,31,4,2,1,0,0,1
